({b"H'\xe2\r\x80h": [-57, 23477474]}, ': ', b'sleep=134 | counter=135 | timeElap=HR=5 min=13, sec=25') 
({b"H'\xe2\r\x80h": [-57, 23611715]}, ': ', b'sleep=51 | counter=136 | timeElap=HR=5 min=15, sec=39') 
({b"H'\xe2\r\x80h": [-56, 23662955]}, ': ', b'sleep=107 | counter=137 | timeElap=HR=5 min=16, sec=30') 
({b"H'\xe2\r\x80h": [-57, 24402599]}, ': ', b'sleep=172 | counter=138 | timeElap=HR=5 min=18, sec=17') 
({b"H'\xe2\r\x80h": [-55, 24574839]}, ': ', b'sleep=45 | counter=139 | timeElap=HR=5 min=31, sec=42') 
({b"H'\xe2\r\x80h": [-56, 24620079]}, ': ', b'sleep=147 | counter=140 | timeElap=HR=5 min=32, sec=27') 
({b"H'\xe2\r\x80h": [-56, 24767319]}, ': ', b'sleep=198 | counter=141 | timeElap=HR=5 min=34, sec=54') 
({b"H'\xe2\r\x80h": [-57, 24965560]}, ': ', b'sleep=2 | counter=142 | timeElap=HR=5 min=38, sec=13') 
({b"H'\xe2\r\x80h": [-56, 25540622]}, ': ', b'sleep=119 | counter=143 | timeElap=HR=5 min=38, sec=15') 
({b"H'\xe2\r\x80h": [-56, 25659863]}, ': ', b'sleep=163 | counter=144 | timeElap=HR=5 min=49, sec=47') 
({b"H'\xe2\r\x80h": [-56, 25823103]}, ': ', b'sleep=61 | counter=145 | timeElap=HR=5 min=52, sec=30') 
({b"H'\xe2\r\x80h": [-55, 25884344]}, ': ', b'sleep=141 | counter=146 | timeElap=HR=5 min=53, sec=31') 
({b"H'\xe2\r\x80h": [-56, 26025584]}, ': ', b'sleep=6 | counter=147 | timeElap=HR=5 min=55, sec=53') 
({b"H'\xe2\r\x80h": [-57, 26032044]}, ': ', b'sleep=115 | counter=148 | timeElap=HR=5 min=55, sec=59') 
({b"H'\xe2\r\x80h": [-56, 26708655]}, ': ', b'sleep=22 | counter=149 | timeElap=HR=5 min=57, sec=54') 
({b"H'\xe2\r\x80h": [-56, 26730897]}, ': ', b'sleep=107 | counter=150 | timeElap=HR=6 min=7, sec=38') 
({b"H'\xe2\r\x80h": [-55, 26838137]}, ': ', b'sleep=84 | counter=151 | timeElap=HR=6 min=9, sec=25') 
({b"H'\xe2\r\x80h": [-56, 26922378]}, ': ', b'sleep=139 | counter=152 | timeElap=HR=6 min=10, sec=50') 
({b"H'\xe2\r\x80h": [-56, 27061618]}, ': ', b'sleep=189 | counter=153 | timeElap=HR=6 min=13, sec=9') 
({b"H'\xe2\r\x80h": [-57, 27250859]}, ': ', b'sleep=69 | counter=154 | timeElap=HR=6 min=16, sec=18') 
({b"H'\xe2\r\x80h": [-56, 27320099]}, ': ', b'sleep=46 | counter=155 | timeElap=HR=6 min=17, sec=27') 
({b"H'\xe2\r\x80h": [-57, 27764680]}, ': ', b'sleep=71 | counter=156 | timeElap=HR=6 min=18, sec=13') 
({b"H'\xe2\r\x80h": [-55, 27836031]}, ': ', b'sleep=158 | counter=157 | timeElap=HR=6 min=26, sec=3') 
({b"H'\xe2\r\x80h": [-57, 27994271]}, ': ', b'sleep=114 | counter=158 | timeElap=HR=6 min=28, sec=41') 
({b"H'\xe2\r\x80h": [-56, 28108512]}, ': ', b'sleep=191 | counter=159 | timeElap=HR=6 min=30, sec=36') 
({b"H'\xe2\r\x80h": [-56, 28299753]}, ': ', b'sleep=47 | counter=160 | timeElap=HR=6 min=33, sec=47') 
({b"H'\xe2\r\x80h": [-55, 28346993]}, ': ', b'sleep=108 | counter=161 | timeElap=HR=6 min=34, sec=34') 
({b"H'\xe2\r\x80h": [-55, 28912707]}, ': ', b'sleep=30 | counter=162 | timeElap=HR=6 min=36, sec=22') 
({b"H'\xe2\r\x80h": [-56, 28943947]}, ': ', b'sleep=81 | counter=163 | timeElap=HR=6 min=44, sec=30') 
({b"H'\xe2\r\x80h": [-56, 28943947]}, ': ', None) 
({b"H'\xe2\r\x80h": [-56, 28943947]}, ': ', None) 
({b"H'\xe2\r\x80h": [-56, 28943947]}, ': ', None) 
({b"H'\xe2\r\x80h": [-57, 29963731]}, ': ', b'sleep=2 | counter=164 | timeElap=HR=6 min=45, sec=52') 
({b"H'\xe2\r\x80h": [-56, 29965970]}, ': ', b'sleep=29 | counter=165 | timeElap=HR=7 min=1, sec=33') 
({b"H'\xe2\r\x80h": [-56, 29995430]}, ': ', b'sleep=146 | counter=166 | timeElap=HR=7 min=2, sec=3') 
({b"H'\xe2\r\x80h": [-56, 30141670]}, ': ', b'sleep=93 | counter=167 | timeElap=HR=7 min=4, sec=29') 
({b"H'\xe2\r\x80h": [-56, 30234911]}, ': ', b'sleep=75 | counter=168 | timeElap=HR=7 min=6, sec=2') 
({b"H'\xe2\r\x80h": [-57, 30310151]}, ': ', b'sleep=177 | counter=169 | timeElap=HR=7 min=7, sec=17') 
({b"H'\xe2\r\x80h": [-56, 30487392]}, ': ', b'sleep=62 | counter=170 | timeElap=HR=7 min=10, sec=15') 
({b"H'\xe2\r\x80h": [-57, 30549632]}, ': ', b'sleep=126 | counter=171 | timeElap=HR=7 min=11, sec=17') 
({b"H'\xe2\r\x80h": [-57, 30675872]}, ': ', b'sleep=5 | counter=172 | timeElap=HR=7 min=13, sec=23') 
({b"H'\xe2\r\x80h": [-57, 30681112]}, ': ', b'sleep=14 | counter=173 | timeElap=HR=7 min=13, sec=28') 
({b"H'\xe2\r\x80h": [-57, 30695352]}, ': ', b'sleep=41 | counter=174 | timeElap=HR=7 min=13, sec=42') 
({b"H'\xe2\r\x80h": [-56, 31453770]}, ': ', b'sleep=146 | counter=175 | timeElap=HR=7 min=14, sec=24') 
({b"H'\xe2\r\x80h": [-56, 31600126]}, ': ', b'sleep=199 | counter=176 | timeElap=HR=7 min=28, sec=47') 
({b"H'\xe2\r\x80h": [-55, 31799367]}, ': ', b'sleep=10 | counter=177 | timeElap=HR=7 min=32, sec=6') 
({b"H'\xe2\r\x80h": [-57, 31809597]}, ': ', b'sleep=117 | counter=178 | timeElap=HR=7 min=32, sec=17') 
({b"H'\xe2\r\x80h": [-57, 31926837]}, ': ', b'sleep=36 | counter=179 | timeElap=HR=7 min=34, sec=14') 
({b"H'\xe2\r\x80h": [-57, 31963077]}, ': ', b'sleep=110 | counter=180 | timeElap=HR=7 min=34, sec=50') 
({b"H'\xe2\r\x80h": [-56, 32626797]}, ': ', b'sleep=25 | counter=181 | timeElap=HR=7 min=36, sec=40') 
({b"H'\xe2\r\x80h": [-56, 32652043]}, ': ', b'sleep=34 | counter=182 | timeElap=HR=7 min=46, sec=19') 
({b"H'\xe2\r\x80h": [-57, 32686280]}, ': ', b'sleep=90 | counter=183 | timeElap=HR=7 min=46, sec=53') 
({b"H'\xe2\r\x80h": [-56, 32776521]}, ': ', b'sleep=127 | counter=184 | timeElap=HR=7 min=48, sec=24') 
